City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
259,Kathmandu,27.7167,85.3167,43.02,100,40,0.0,NP,1644201104
260,Marawi,7.9986,124.2928,72.64,49,50,5.3,PH,1644201356
261,Hofn,64.2539,-15.2082,31.5,76,100,17.96,IS,1644201356
262,Bowen,-20.0167,148.2333,84.42,58,83,18.54,AU,1644201357
263,Baruun-Urt,46.6806,113.2792,8.73,75,11,9.01,MN,1644201357
264,St. George's,12.0564,-61.7485,78.48,78,75,12.66,GD,1644201162
265,Santa Rosa,14.3122,121.1114,84.11,77,100,17.85,PH,1644201357
266,Oktyabr'skiy,54.4815,53.471,11.68,97,100,3.36,RU,1644201358
267,Luján,-34.5703,-59.105,65.98,91,8,6.8,AR,1644201358
268,Green River,41.5286,-109.4662,31.15,53,8,3.0,US,1644201358
269,Anadyr,64.75,177.4833,-14.3,76,71,8.95,RU,1644201359
270,Cidreira,-30.1811,-50.2056,68.22,74,8,7.81,BR,1644201359
271,Bodden Town,19.2833,-81.25,77.94,79,75,1.99,KY,1644201360
272,Fortuna,40.5982,-124.1573,50.18,93,0,0.0,US,1644201360
273,Plouzané,48.3833,-4.6167,51.89,93,75,14.97,FR,1644201071
274,Qaqortoq,60.7167,-46.0333,9.1,64,100,24.09,GL,1644201360
275,Gambēla,8.25,34.5833,73.63,33,100,1.48,ET,1644201361
276,Angoram,-4.0625,144.0661,85.33,73,100,3.85,PG,1644201361
277,Avera,33.194,-82.5271,42.75,54,99,6.71,US,1644201362
278,Mednogorsk,51.4128,57.595,12.87,97,100,5.06,RU,1644201362
279,Kampot,10.6167,104.1833,84.25,53,96,5.88,KH,1644201363
280,Saldanha,-33.0117,17.9442,62.65,99,35,7.87,ZA,1644201363
281,Iquique,-20.2208,-70.1431,69.84,77,100,2.73,CL,1644201364
282,Paralímni,35.0375,33.9833,53.42,92,2,7.0,CY,1644201364
283,Butembo,0.15,29.2833,57.4,48,100,2.48,CD,1644201364
284,Beitbridge,-22.2167,30.0,67.19,83,0,11.99,ZW,1644201365
285,Ciudad Juárez,31.7333,-106.4833,48.9,30,0,11.01,MX,1644201365
286,Alofi,-19.0595,-169.9187,82.29,83,100,4.61,NU,1644201365
287,Acapulco de Juárez,16.8634,-99.8901,80.42,74,0,9.22,MX,1644201282
288,Brae,60.3964,-1.353,39.11,57,95,30.4,GB,1644201344
289,Miami,25.7743,-80.1937,74.98,84,20,3.0,US,1644201179
290,North Bend,43.4065,-124.2243,51.85,94,0,5.75,US,1644201366
291,Thompson,55.7435,-97.8558,-7.44,71,100,5.75,CA,1644201367
292,Paamiut,61.994,-49.6678,10.49,78,100,27.0,GL,1644201367
293,Trairi,-3.2778,-39.2689,77.16,81,3,6.15,BR,1644201211
294,Neiafu,-18.65,-173.9833,75.88,83,100,9.22,TO,1644201256
295,Barabai,-2.5833,115.3833,84.83,72,96,3.22,ID,1644201368
296,Kikwit,-5.041,18.8162,69.73,96,100,0.76,CD,1644201368
297,Sambava,-14.2667,50.1667,74.34,86,49,4.03,MG,1644201368
298,Arang,21.2,81.9667,59.32,27,12,1.12,IN,1644201369
299,Pamanukan,-6.2842,107.8106,81.72,80,100,10.36,ID,1644201369
300,La Ronge,55.1001,-105.2842,14.25,85,75,5.75,CA,1644201112
301,Maragogi,-9.0122,-35.2225,79.21,73,47,6.4,BR,1644201370
302,Yerbogachën,61.2767,108.0108,-7.92,97,99,2.44,RU,1644201370
303,Marystown,47.1666,-55.1483,19.85,100,91,11.52,CA,1644201083
304,Lyuban',52.7985,28.0048,32.5,98,100,15.97,BY,1644201371
305,Dehlorān,32.6941,47.2679,49.78,44,5,3.76,IR,1644201221
306,Santa Maria,-29.6842,-53.8069,65.5,59,0,2.3,BR,1644201371
307,Gazli,40.1333,63.45,34.23,66,96,5.14,UZ,1644201372
308,Balezino,57.9796,53.0106,12.99,97,100,5.03,RU,1644201372
309,Sokoni,-6.4333,39.55,79.09,87,100,10.8,TZ,1644201373
310,Salalah,17.0151,54.0924,73.49,27,0,6.91,OM,1644201117
311,Lufilufi,-13.8745,-171.5986,89.38,76,100,17.22,WS,1644201373
312,Matagami,49.7502,-77.6328,8.71,85,100,2.3,CA,1644201374
313,San Miguel de Cozumel,20.5083,-86.9458,74.95,92,31,3.0,MX,1644201374
314,Edgewater,28.9889,-80.9023,62.02,100,100,6.91,US,1644201374
315,Sept-Îles,50.2001,-66.3821,4.05,79,100,5.75,CA,1644201182
316,Broome,42.2506,-75.833,23.9,69,0,1.01,US,1644201375
317,Hervey Bay,-25.2986,152.8535,75.04,89,89,13.0,AU,1644201375
318,Ouro Sogui,15.6064,-13.3211,74.71,10,0,8.97,SN,1644201375
319,Norman Wells,65.282,-126.8329,-12.96,70,100,17.27,CA,1644201376
320,Caucayá,-0.1934,-74.7819,73.2,95,91,1.88,CO,1644201376
321,Namatanai,-3.6667,152.4333,85.84,67,100,7.11,PG,1644201376
322,Zhigansk,66.7697,123.3711,-29.15,99,93,3.89,RU,1644201377
323,Yaring,6.8662,101.3689,80.29,75,61,8.37,TH,1644201377
324,Makakilo City,21.3469,-158.0858,79.12,59,75,9.22,US,1644201378
325,Guarapari,-20.6667,-40.4975,78.69,88,0,11.05,BR,1644201378
326,Sitka,57.0531,-135.33,44.49,76,100,8.05,US,1644201379
327,Coquimbo,-29.9533,-71.3436,64.13,82,100,3.44,CL,1644201085
328,São Gabriel da Cachoeira,-0.1303,-67.0892,72.97,98,98,1.83,BR,1644201379
329,Nioro,13.35,-15.75,73.8,34,0,2.44,GM,1644201380
330,Luangwa,-15.6167,30.4167,67.84,97,57,0.89,ZM,1644201380
331,Darnah,32.767,22.6367,56.3,49,70,3.58,LY,1644201380
332,Rio Pardo de Minas,-15.6097,-42.5397,65.46,97,100,1.16,BR,1644201381
333,Filingué,14.3521,3.3168,64.76,14,0,11.05,NE,1644201381
334,Katobu,-4.9408,122.5276,85.3,68,99,7.45,ID,1644201381
335,Grand Gaube,-20.0064,57.6608,77.4,85,100,1.99,MU,1644201229
336,Kamina,-8.7386,24.9906,63.41,97,100,5.57,CD,1644201382
337,Abu Samrah,35.3029,37.1841,47.41,89,91,7.11,SY,1644201382
338,Catherinas Lust,6.4,-57.6,77.25,85,99,9.62,GY,1644201383
339,Morondava,-20.2833,44.2833,80.4,84,100,24.65,MG,1644201383
340,Waingapu,-9.6567,120.2641,86.88,65,17,11.63,ID,1644201148
341,Kokopo,-4.352,152.2633,86.22,64,100,11.65,PG,1644201384
342,Maridi,4.9158,29.4742,63.88,24,41,4.38,SS,1644201384
343,Morón,-34.6534,-58.6198,65.97,81,9,6.29,AR,1644201384
344,Rabat,33.9911,-6.8401,49.41,100,0,0.0,MA,1644201385
345,Arrondissement de Cambrai,50.1667,3.4167,41.05,76,16,16.73,FR,1644201385
346,Gyānpur,25.35,82.4667,56.41,56,0,3.04,IN,1644201385
347,Cairns,-16.9167,145.7667,88.11,70,100,4.61,AU,1644201294
348,Hauterive,46.0901,3.4459,50.76,89,100,15.01,FR,1644201386
349,Vanimo,-2.6741,141.3028,82.27,79,100,4.63,PG,1644201386
350,Vallenar,-28.5708,-70.7581,69.37,55,0,2.64,CL,1644201387
351,Christchurch,-43.5333,172.6333,63.91,64,40,4.0,NZ,1644201194
352,Pangoa,-12.1167,-73.0,67.89,91,100,2.53,PE,1644201387
